year,region,metric,dim_name,dim_value,value
2019,LIMA,siniestros_total,,,49832.0
2019,CALLAO,siniestros_total,,,3133.0
2019,LORETO,siniestros_total,,,335.0
2019,MADRE DE DIOS,siniestros_total,,,511.0
2019,MOQUEGUA,siniestros_total,,,534.0
2019,PASCO,siniestros_total,,,552.0
2019,PIURA,siniestros_total,,,4066.0
2019,PUNO,siniestros_total,,,1179.0
2019,SAN MARTÍN,siniestros_total,,,1260.0
2019,TACNA,siniestros_total,,,1297.0
2019,TUMBES,siniestros_total,,,395.0
2019,UCAYALI,siniestros_total,,,703.0
2019,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,95800.0
2020,AMAZONAS,siniestros_total,,,387.0
2020,ANCASH,siniestros_total,,,1279.0
2020,APURIMAC,siniestros_total,,,637.0
2020,AREQUIPA,siniestros_total,,,3010.0
2020,AYACUCHO,siniestros_total,,,410.0
2020,CAJAMARCA,siniestros_total,,,1303.0
2020,CUSCO,siniestros_total,,,2318.0
2020,HUANCAVELICA,siniestros_total,,,170.0
2020,HUÁNUCO,siniestros_total,,,822.0
2020,ICA,siniestros_total,,,1003.0
2020,JUNIN,siniestros_total,,,2311.0
2020,LA LIBERTAD,siniestros_total,,,3344.0
2020,LAMBAYEQUE,siniestros_total,,,2263.0
2020,LIMA,siniestros_total,,,29185.0
2020,CALLAO,siniestros_total,,,2008.0
2020,LORETO,siniestros_total,,,211.0
2020,MADRE DE DIOS,siniestros_total,,,419.0
2020,MOQUEGUA,siniestros_total,,,310.0
2020,PASCO,siniestros_total,,,328.0
2020,PIURA,siniestros_total,,,2636.0
2020,PUNO,siniestros_total,,,602.0
2020,SAN MARTÍN,siniestros_total,,,880.0
2020,TACNA,siniestros_total,,,719.0
2020,TUMBES,siniestros_total,,,254.0
2020,UCAYALI,siniestros_total,,,587.0
2020,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,57396.0
2021,AMAZONAS,siniestros_total,,,473.0
2021,ANCASH,siniestros_total,,,2096.0
